"Koda besedila"	"Text ID"
"Naslov besedila"	"Topic"
"Navodilo za pisanje"	"Instruction"
"Leto nastanka"	"Academic year"
"Okoliščine nastanka"	"Task setting"
"Datum nastanka"	"Creation date"
"Nivo"	"Language proficiency in Slovene"
"Program"	"Program type"
"Podtip programa"	"Program subtype"
"Učitelj"	"Teacher"
"Napisano"	"Input type"
"Ocena"	"Grade"
"Tvorec"	"Author"
"Spol"	"Sex"
"Leto rojstva"	"Year of birth"
"Status"	"Employment status"
"Izobrazba"	"Completed education"
"Ime šole, Fakulteta"	"Current school"
"Stopnja študija"	"Study cycle"
"Leto študija"	"Study year"
"Država"	"Country"
"J1"	"First language"
"Ostali jeziki"	"Knowledge of other languages"
"Učenje slovenščine pred tem programom"	"Experience with Slovene before current program"
"Kje učenje"	"Location of Slovene language learning"
"Koliko časa učenje?"	"Duration of Slovene language learning"
"Učbeniki"	"Slovene textbooks used"
"Življenje v Sloveniji pred tem programom"	"Life in Slovenija before this current program"
"Kje?"	"Location of life in Slovenia"
"Koliko časa?"	"Duration of life in Slovenia"
